Competitor Name,Competition,Round,Place,Single,Average,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5
Yiheng Wang,Chongqing New Year 2025,First round,1,4.41,4.94,4.81,4.88,5.13,5.18,4.41
Yiheng Wang,Beijing Winter 2025,Final,1,4.22,4.91,5.37,5.31,4.45,4.96,4.22
Yiheng Wang,Beijing Winter 2025,Second round,2,4.97,5.60,5.82,6.88,5.62,4.97,5.36
Yiheng Wang,Beijing Winter 2025,First round,2,4.81,5.49,4.85,5.51,6.12,4.81,6.12
Yiheng Wang,Yancheng Open 2024,Final,1,3.83,4.85,4.21,6.51,5.16,3.83,5.19
Yiheng Wang,Yancheng Open 2024,Second round,2,4.11,4.82,5.10,6.01,4.87,4.11,4.49
Yiheng Wang,Yancheng Open 2024,First round,2,4.16,4.81,5.73,4.16,4.17,4.52,5.75
Yiheng Wang,Hangzhou Open 2024,Final,1,3.92,4.54,4.92,4.13,4.57,5.57,3.92
Yiheng Wang,Hangzhou Open 2024,Second round,2,4.03,4.73,5.92,4.75,4.51,4.03,4.93
Yiheng Wang,Hangzhou Open 2024,First round,1,3.65,4.78,3.65,4.44,4.95,5.21,4.96
Yiheng Wang,Zhengzhou Open 2024,Final,1,3.84,4.05,3.84,4.25,4.14,4.13,3.87
Yiheng Wang,Zhengzhou Open 2024,Second round,1,3.78,4.66,4.77,4.65,5.89,4.57,3.78
Yiheng Wang,Zhengzhou Open 2024,First round,1,3.75,4.21,4.28,4.63,3.75,4.48,3.86
Yiheng Wang,Cool Down Singapore 2024,Final,1,4.06,4.26,4.28,4.15,4.06,4.34,5.49
Yiheng Wang,Cool Down Singapore 2024,Semi Final,1,3.90,5.22,5.46,5.24,4.97,5.48,3.90
Yiheng Wang,Cool Down Singapore 2024,Second round,1,4.28,4.65,4.28,5.20,4.39,4.89,4.66
Yiheng Wang,Cool Down Singapore 2024,First round,1,4.54,5.25,4.61,5.92,4.54,5.21,6.48
Yiheng Wang,Rubik's WCA Asian Championship 2024,Final,1,4.15,4.42,4.32,4.81,4.68,4.26,4.15
Yiheng Wang,Rubik's WCA Asian Championship 2024,Semi Final,2,3.61,5.27,3.61,5.62,5.08,5.65,5.11
Yiheng Wang,Rubik's WCA Asian Championship 2024,Second round,3,4.68,5.20,5.64,5.02,4.93,4.68,5.93
Yiheng Wang,Rubik's WCA Asian Championship 2024,First round,1,3.69,4.09,3.96,4.29,4.48,3.69,4.01
Yiheng Wang,Harbin Open 2024,Final,1,3.78,4.97,5.01,5.53,4.37,3.78,6.98
Yiheng Wang,Harbin Open 2024,Second round,1,4.37,4.77,4.74,4.64,4.92,6.71,4.37
Yiheng Wang,Harbin Open 2024,First round,1,4.32,4.59,6.66,4.32,4.64,4.82,4.32
Yiheng Wang,Guilin Open 2024,Final,1,4.28,4.50,4.50,4.36,4.28,4.64,11.05
Yiheng Wang,Guilin Open 2024,Second round,2,3.27,4.91,5.78,6.57,4.33,3.27,4.61
Yiheng Wang,Guilin Open 2024,First round,2,4.90,5.69,5.25,6.71,4.90,6.17,5.64
Yiheng Wang,Xuzhou Autumn 2024,Final,1,3.71,4.09,3.83,5.16,4.55,3.71,3.88
Yiheng Wang,Xuzhou Autumn 2024,Semi Final,1,3.96,4.64,6.41,4.60,4.73,4.58,3.96
Yiheng Wang,Xuzhou Autumn 2024,Second round,1,4.30,4.98,6.16,4.88,4.97,5.08,4.30
Yiheng Wang,Xuzhou Autumn 2024,First round,1,4.09,4.70,4.51,4.80,4.80,6.28,4.09
Yiheng Wang,Dalian Open 2024,Final,1,4.08,4.57,4.78,4.08,4.84,4.60,4.32
Yiheng Wang,Dalian Open 2024,Second round,2,4.34,5.06,5.02,4.34,6.51,5.44,4.72
Yiheng Wang,Dalian Open 2024,First round,1,4.41,4.89,5.69,4.41,4.55,4.87,5.26
Yiheng Wang,Warm Up at gateway klia2 2024,Final,1,4.09,4.85,4.63,4.09,5.19,7.91,4.72
Yiheng Wang,Warm Up at gateway klia2 2024,Semi Final,1,4.05,4.33,4.35,4.05,4.50,4.46,4.19
Yiheng Wang,Warm Up at gateway klia2 2024,Second round,1,4.02,4.52,4.66,4.02,4.18,5.50,4.73
Yiheng Wang,Warm Up at gateway klia2 2024,First round,1,3.73,4.85,5.70,5.36,3.77,5.43,3.73
Yiheng Wang,Deqing Small Cubes Summer 2024,Final,1,4.33,4.73,5.03,4.46,4.33,4.69,6.38
Yiheng Wang,Deqing Small Cubes Summer 2024,Second round,2,5.46,5.56,5.52,5.72,5.62,5.46,5.53
Yiheng Wang,Deqing Small Cubes Summer 2024,First round,1,3.96,4.25,4.76,3.98,4.81,4.00,3.96
Yiheng Wang,Xi'an Open 2024,Final,1,4.54,4.88,4.89,4.54,5.98,4.57,5.18
Yiheng Wang,Xi'an Open 2024,Semi Final,1,4.41,5.24,6.12,4.41,4.69,4.92,6.23
Yiheng Wang,Xi'an Open 2024,Second round,1,3.98,4.46,4.42,3.98,4.69,5.64,4.27
Yiheng Wang,Xi'an Open 2024,First round,4,4.68,5.70,6.94,4.79,6.95,5.38,4.68
Yiheng Wang,Australian Nationals 2024,Final,1,4.33,5.08,5.40,5.24,4.61,4.33,10.28
Yiheng Wang,Australian Nationals 2024,Semi Final,1,4.26,5.06,5.18,5.12,4.26,4.88,5.59
Yiheng Wang,Australian Nationals 2024,Second round,1,3.76,5.08,4.45,5.92,4.88,6.56,3.76
Yiheng Wang,Australian Nationals 2024,First round,1,3.98,4.95,5.06,5.08,6.13,4.72,3.98
Yiheng Wang,Philippine Championship 2024,Final,1,4.33,5.04,4.61,5.06,4.33,5.96,5.45
Yiheng Wang,Philippine Championship 2024,Semi Final,1,4.31,4.66,4.31,4.70,4.49,4.80,5.48
Yiheng Wang,Philippine Championship 2024,Second round,1,4.84,5.11,5.16,4.84,6.22,5.22,4.96
Yiheng Wang,Philippine Championship 2024,First round,1,3.97,4.36,6.11,3.97,4.48,4.59,4.02
Yiheng Wang,Johor Cube Open 2024,Final,1,4.20,4.91,4.52,4.20,5.74,4.48,6.62
Yiheng Wang,Johor Cube Open 2024,Second round,1,4.00,4.87,6.51,4.39,4.59,5.64,4.00
Yiheng Wang,Johor Cube Open 2024,First round,1,4.56,4.79,5.73,4.86,4.74,4.56,4.78
Yiheng Wang,Bali Discovery Speedcubing Masters 2024,Final,1,4.19,4.79,4.63,4.89,5.01,4.84,4.19
Yiheng Wang,Bali Discovery Speedcubing Masters 2024,Second round,1,4.31,4.70,4.38,4.78,5.13,4.31,4.94
Yiheng Wang,Bali Discovery Speedcubing Masters 2024,First round,1,4.41,5.66,6.33,5.01,7.39,5.65,4.41
Yiheng Wang,Sunway Velocity Mall Open 2024,Final,1,4.08,4.97,4.89,5.20,4.08,4.83,5.85
Yiheng Wang,Sunway Velocity Mall Open 2024,Semi Final,1,4.40,5.16,5.45,4.40,4.57,5.47,6.25
Yiheng Wang,Sunway Velocity Mall Open 2024,Second round,1,4.63,5.02,5.24,4.63,5.10,7.01,4.73
Yiheng Wang,Sunway Velocity Mall Open 2024,First round,1,4.67,5.14,5.96,8.52,4.70,4.67,4.77
Yiheng Wang,Zibo Open 2024,Final,1,4.00,4.91,4.77,4.00,5.12,7.26,4.85
Yiheng Wang,Zibo Open 2024,Second round,1,4.18,5.06,5.26,4.69,5.22,6.94,4.18
Yiheng Wang,Zibo Open 2024,First round,1,4.88,5.20,4.92,7.34,4.92,4.88,5.76
Yiheng Wang,Kunshan Open 2024,Final,1,3.66,4.91,6.81,5.55,4.94,3.66,4.23
Yiheng Wang,Kunshan Open 2024,Second round,1,3.85,4.84,4.86,4.96,4.69,7.12,3.85
Yiheng Wang,Kunshan Open 2024,First round,1,4.10,4.96,4.10,6.13,5.20,4.48,5.19
Yiheng Wang,Shenyang Spring 2024,Final,1,4.31,5.05,4.57,4.31,5.42,5.95,5.16
Yiheng Wang,Shenyang Spring 2024,Second round,1,4.09,5.47,4.09,4.92,DNF,5.06,6.42
Yiheng Wang,Shenyang Spring 2024,First round,1,4.19,5.20,5.63,5.97,5.22,4.19,4.76
Luke Garrett,NxNationwide Lewis Center 2025,Final,1,5.18,6.31,5.85,6.73,5.18,6.81,6.36
Luke Garrett,NxNationwide Lewis Center 2025,Second round,2,5.16,6.24,6.69,5.16,6.70,7.73,5.32
Luke Garrett,NxNationwide Lewis Center 2025,First round,2,4.53,6.24,5.98,6.49,4.53,6.41,6.32
Luke Garrett,Naperville Winter 2025,Final,2,5.57,6.74,7.33,5.57,9.37,6.51,6.37
Luke Garrett,Naperville Winter 2025,Second round,2,5.19,6.41,6.22,5.19,6.39,9.06,6.62
Luke Garrett,Naperville Winter 2025,First round,1,5.36,5.98,5.43,6.02,5.36,6.50,8.40
Luke Garrett,Return of the Ville KY 2025,Final,2,5.08,6.36,7.96,5.41,5.08,6.86,6.81
Luke Garrett,Return of the Ville KY 2025,Second round,1,5.20,5.79,5.45,5.57,5.20,6.35,6.76
Luke Garrett,Return of the Ville KY 2025,First round,1,5.07,6.16,6.07,5.07,7.39,6.15,6.26
Luke Garrett,Ohio State Winter 2025,Final,1,5.14,5.83,5.14,5.47,6.33,6.13,5.89
Luke Garrett,Ohio State Winter 2025,Second round,1,5.01,5.72,5.36,6.26,5.53,5.01,DNF
Luke Garrett,Ohio State Winter 2025,First round,1,5.60,6.94,5.82,9.43,5.60,8.21,6.79
Luke Garrett,Gem City Ohio Showdown 2025,Final,1,4.92,5.12,5.08,4.92,5.10,5.18,7.33
Luke Garrett,Gem City Ohio Showdown 2025,Second round,1,5.65,5.92,6.04,5.67,5.65,6.61,6.06
Luke Garrett,Gem City Ohio Showdown 2025,First round,2,5.74,7.13,8.25,20.16,5.74,6.26,6.87
Luke Garrett,Michigan Mini 264 2024,Final,1,5.45,5.77,8.24,5.55,5.45,5.61,6.16
Luke Garrett,Michigan Mini 264 2024,Second round,1,4.72,5.53,4.72,6.33,4.78,5.84,5.96
Luke Garrett,Michigan Mini 264 2024,First round,1,5.54,6.65,DNF,7.69,5.68,5.54,6.57
Luke Garrett,Ohio State Nearly New Years 2024,Final,2,6.13,6.74,6.45,6.13,6.38,DNF,7.39
Luke Garrett,Ohio State Nearly New Years 2024,Second round,2,5.25,5.99,6.39,5.25,5.98,5.59,7.40
Luke Garrett,Ohio State Nearly New Years 2024,First round,1,5.59,6.16,7.46,5.59,6.24,5.68,6.56
Luke Garrett,Gallop in Kentucky Winter 2024,Final,2,5.43,6.01,5.75,5.58,5.43,6.69,7.63
Luke Garrett,Gallop in Kentucky Winter 2024,Second round,2,5.59,6.57,7.53,6.32,6.69,5.59,6.70
