Date,Name of Event,Country,City,Venue,Comepetitor Limit
Feb 22 2025,D21 Delhi Cube Open A 2025,India,New Delhi,Pacific Mall Atrium,30
Feb 22 2025,D21 Delhi Cube Open B 2025,India,New Delhi,Pacific Mall Atrium,30
Feb 22 2025,Delacuesta al Cubo VI 2025,Colombia,Piedecuesta,Centro comercial Delacuesta,60
Feb 22 2025,Denver Mini Blind 2025,United States,Denver,Denver Public Library: Bob Ragland Branch,30
Feb 22 2025,FSUbers 8.0 2025,United States,Tallahassee,Student Services Building Florida State University,110
Feb 22 2025,INPT Olympiads 2025,Morocco,Rabat,Institut National des Postes et Télécommunications,50
Feb 22 2025,LA PRE Pucallpa Speedcubing 2025,Peru,Pucallpa,Colegio y Academia LA PRE,40
Feb 22 2025,Landvetter Cold Open 2025,Sweden,Landvetter,Landvetter Kulturhus,50
Feb 22 2025,Manchester February 2025,United Kingdom,Manchester, Wythenshawe Forum,100
Feb 22 2025,Metropolis Lara League | 2025,Venezuela,Barquisimeto,C.C. Metrópolis,30
Feb 22 2025,Nidaros FMC Winter 2025,Norway,Trondheim,Adolf Øyen-bygget NTNU Gløshaugen,30
Feb 22 2025,Ruta Cubera: Jaén Open 2025,Spain,Jaén,Colegio Guadalimar-Altocastillo,50
Feb 22 2025,See GA: Cloudland Canyon A 2025,United States,Rising Fawn,Cloudland Canyon State Park,70
Feb 22 2025,Spokane Big Cubes 2025,United States,Spokane,Spokane Library Shadle Branch,30
Feb 22 2025,Vilafranca Open 2025,Spain,Vilafranca del Penedès,Espai Jove la Nau,60
Feb 22-23  2025,Aarhus Winter 2025,Denmark,Aarhus,Fjordsgade forenings- og fritidshus,60
Feb 22-23  2025,CEMS ao Cubo Vila Velha 2025,Brazil,Vila Velha,CEMS - Centro Educacional Movimento do Saber,60
Feb 22-23 2025,Central Asian Tour Tashkent 2025,Uzbekistan,Tashkent,Interhouse school,100
Feb 22-23 2025,CFL Goes Sideways Rogów 2025,Poland,Rogów,JODELKA Dom Studencki SGGW,35
Feb 22-23 2025,Cork Spring 2025,Ireland,Cork,Devere Hall,100
Feb 22-23 2025,CubbOpen Roma 2025,Italy,Roma,Istituto Comprensivo Marco Polo,70
Feb 22-23 2025,Cubing in Ružinov: February 2025,Slovakia,Bratislava,DK Ružinov,55
Feb 22-23 2025,Elmsford Winter 2025,United States,Elmsford,Cubicle Auxiliary Building,14
Feb 22-23 2025,Hampshire Winter 2025,United Kingdom,Eastleigh,Barton Peveril Sixth Form College,140
Feb 22-23 2025,Hurlubiks Cube Mouscron 2025,Belgium,Mouscron,Centre Marius Staquet - Salle Jacques Brel,180
Feb 22-23 2025,Imus Speedcubing Open II 2025,Philippines,Imus,Robinsons Imus,90
Feb 22-23 2025,Istanbul February Weekend 2025,Turkey,Istanbul,Metrocity Alışveriş Merkezi,100
Feb 22-23 2025,Kyiv Big & Blind Winter 2025,Ukraine,Kyiv,Rivvorking,55
Feb 22-23 2025,Maritimes 2025,Canada,Truro,Inn on Prince Hotel & Conference Centre Truro,120
Feb 22-23 2025,Mississippi Championship 2025,United States,Natchez,Natchez Convention Center,85
Feb 22-23 2025,Osijek Open 2025,Croatia,Osijek,Ekonomski fakultet u Osijeku,60
Feb 22-23 2025,PA-retzel Mania Winter 2025,United States,Lancaster,Lancaster County Convention Center,500
Feb 22-23 2025,Paradise Park Bangkok NxNxN 2025,Thailand,Bangkok,Paradise Park,200
Feb 22-23 2025,Pitic Open 2025,Mexico,Hermosillo,Casa de la Cultura de Sonora,60
Feb 22-23 2025,Pragyan Cube Open 2025,India,Trichy,National Institute of Technology Tiruchirappalli,85
Feb 22-23 2025,PUCP Cubing Festival IV 2025,Peru,Lima,Pontificia Universidad Católica del Perú,130
Feb 22-23 2025,RNFP 2025,Germany,Laudenbach,Georg-Bickel-Haus,40
Feb 22-23 2025,Risbjerg Februar 2025,Denmark,Hvidovre,Risbjergskolen Aulaen,50
Feb 22-23 2025,Spark Melbourne February 2025,Australia,Melbourne,Cru+ Coffee Roastery,130
Feb 22-23 2025,Südtirol Open 2025,Italy,Laives,Black Box,70
Feb 22-23 2025,Synocubix Gandhinagar 2025,India,Gandhinagar,Dhirubai Ambani Institute of Information and Communication Technology (DA-IICT) Gandhinagar,80
Feb 23 2025,Bay Area Side Events Day 2025,United States,San Jose,Andrew P. Hill High School,225
Feb 23 2025,D21 Delhi Cube Open C 2025,India,New Delhi,Pacific Mall Atrium,30
Feb 23 2025,D21 Delhi Cube Open D 2025,India,New Delhi,Pacific Mall Atrium,30
Feb 23 2025,Flushing Glow Open AM 2025,United States,Flushing New York,Glow Cultural Center,45
Feb 23 2025,Flushing Glow Open PM 2025,United States,Flushing New York,Glow Cultural Center,45
Feb 23 2025,La Estacion Cali 2025,Colombia,New Delhi,Centro Comercial La Estación,60
Feb 23 2025,MorrOpen 2025,Chile,Arica,Centro Cultural Junta de Adelanto,40
Feb 23 2025,See GA: Cloudland Canyon B 2025,United States,Rising Fawn Georgia,Cloudland Canyon State Park,70
Feb 23 2025,SG Small and Sides Feb 2025,Singapore,Singapore,Cecil Building,38
Feb 23 2025,Swoop in and Solve Oxford 2025,United States,Arica,Armstrong Student Center,150
Feb 25 2025,Olte Februar Füürobe 2025,Switzerland,olten,Saal Pauluskirche,50
Feb 25 2025,Wolverine Weekdays 1 Orem 2025,United States,Orem,Sorenson Student Center,40

